HH:MM:SS,Ticks,SubBand,ChipId,Info,FrmNo,SubfrmNo,Type,bit16PacketType,bit16PacketLen,bit16MngFrmHeadTag,bit16MngFrmHeadLen,bit01NullMngFrameFlag,bit08L1PhyCellInst,bit08L2PhyCellInst,bit05Rsv0
15:53:14,950,0,255,Pucch,306,43,MngHead,8192,156,1,12,0,0,0,0
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15:53:14,975,0,255,Pucch,306,43,MngTail,8192,156,1,12,0,0,0,0
"						",,,,,,,,,,,,,,,
15:53:14,993,0,255,Pucch,311,43,MngHead,8192,156,1,12,0,0,0,0
"						",,,,,,,,,,,,,,,
15:53:15,2,0,255,Pucch,312,43,MngHead,8192,156,1,12,0,0,0,0
"						",,,,,,,,,,,,,,,
15:53:15,19,0,255,Pucch,313,43,MngHead,8192,156,1,12,0,0,0,0
"						",,,,,,,,,,,,,,,
15:53:15,36,0,255,Pucch,3115,43,MngHead,8192,156,1,12,0,0,0,0
"						",,,,,,,,,,,,,,,
15:53:15,93,0,255,Pucch,321,43,MngHead,8192,156,1,12,0,0,0,0
"						",,,,,,,,,,,,,,,
15:53:15,127,0,255,Pucch,324,43,MngHead,8192,156,1,12,0,0,0,0
"						",,,,,,,,,,,,,,,
15:53:15,134,0,255,Pucch,325,43,MngHead,8192,156,1,12,0,0,0,0
"						",,,,,,,,,,,,,,,
15:53:15,152,0,255,Pucch,327,43,MngHead,8192,156,1,12,0,0,0,0
"						",,,,,,,,,,,,,,,
15:53:15,167,0,255,Pucch,328,43,MngHead,8192,156,1,12,0,0,0,0
"						",,,,,,,,,,,,,,,
15:53:15,192,0,255,Pucch,331,43,MngHead,8192,156,1,12,0,0,0,0
"						",,,,,,,,,,,,,,,
15:53:15,216,0,255,Pucch,333,43,MngHead,8192,156,1,12,0,0,0,0
"						",,,,,,,,,,,,,,,
15:53:15,233,0,255,Pucch,335,43,MngHead,8192,156,1,12,0,0,0,0
"						",,,,,,,,,,,,,,,
15:53:15,242,0,255,Pucch,336,43,MngHead,8192,156,1,12,0,0,0,0
"						",,,,,,,,,,,,,,,
15:53:15,280,0,255,Pucch,339,43,MngHead,8192,156,1,12,0,0,0,0
"						",,,,,,,,,,,,,,,
15:53:15,302,0,255,Pucch,342,43,MngHead,8192,156,1,12,0,0,0,0
"						",,,,,,,,,,,,,,,
15:53:15,320,0,255,Pucch,343,43,MngHead,8192,156,1,12,0,0,0,0
"						",,,,,,,,,,,,,,,
15:53:15,386,0,255,Pucch,350,43,MngHead,8192,156,1,12,0,0,0,0
"						",,,,,,,,,,,,,,,
15:53:15,386,0,255,Pucch,350,50,MngHead,8192,80,1,12,0,0,0,0
